epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2413.95,1.0805,1.39715,1.51342,0.86467,0.71831,0.83646,0.68399,1.12115,0.98186,1.62568,0.000838141,0.000838141,0.000838141
55,2463.72,1.07883,1.38716,1.48644,0.80373,0.74877,0.83074,0.68188,1.09956,1.01998,1.61052,0.000832349,0.000832349,0.000832349
56,2511.36,1.07436,1.38447,1.4839,0.86956,0.72468,0.83707,0.68621,1.11395,0.98862,1.60796,0.000826477,0.000826477,0.000826477
57,2559.22,1.08713,1.40023,1.49512,0.85366,0.75702,0.83639,0.68298,1.12843,0.98758,1.61329,0.000820525,0.000820525,0.000820525
58,2607.12,1.0981,1.38685,1.50726,0.86547,0.71981,0.8308,0.68867,1.09306,0.99123,1.61393,0.000814495,0.000814495,0.000814495
59,2656.4,1.06009,1.36832,1.4878,0.83111,0.73506,0.83588,0.68776,1.11307,0.95674,1.62118,0.000808389,0.000808389,0.000808389
60,2707.54,1.0786,1.37543,1.49725,0.86458,0.7063,0.83174,0.68526,1.10168,0.97162,1.62532,0.000802208,0.000802208,0.000802208
61,2755.63,1.06219,1.35483,1.48683,0.84518,0.73904,0.83929,0.69835,1.06741,0.94496,1.5989,0.000795954,0.000795954,0.000795954
62,2803.61,1.06254,1.34804,1.48368,0.84959,0.71896,0.83437,0.68199,1.13364,0.97404,1.62359,0.000789628,0.000789628,0.000789628
63,2851.71,1.08091,1.37118,1.50008,0.86115,0.74437,0.84289,0.69025,1.12331,0.93435,1.61848,0.000783231,0.000783231,0.000783231
64,2899.51,1.0805,1.3766,1.49825,0.83613,0.74424,0.83692,0.68727,1.118,0.9521,1.62463,0.000776766,0.000776766,0.000776766
65,2952.11,1.05968,1.33263,1.4801,0.85716,0.72087,0.83294,0.68598,1.11025,0.93859,1.61473,0.000770234,0.000770234,0.000770234
66,3000.12,1.06482,1.35582,1.48774,0.87174,0.73361,0.84636,0.7026,1.08118,0.883,1.59533,0.000763637,0.000763637,0.000763637
67,3048.52,1.05282,1.34109,1.4829,0.84687,0.75135,0.84841,0.6975,1.09539,0.90785,1.60372,0.000756976,0.000756976,0.000756976
68,3097.04,1.05932,1.32039,1.48336,0.87395,0.73812,0.84826,0.69717,1.08584,0.8766,1.59799,0.000750252,0.000750252,0.000750252
69,3145.55,1.06308,1.33545,1.48268,0.8376,0.75453,0.84661,0.70342,1.06932,0.90284,1.59098,0.000743468,0.000743468,0.000743468
70,3194.74,1.06731,1.33948,1.47958,0.84814,0.74586,0.84669,0.69313,1.1087,0.91019,1.61365,0.000736625,0.000736625,0.000736625
71,3246.84,1.07297,1.32207,1.48046,0.84651,0.75888,0.8515,0.69188,1.1197,0.9048,1.61069,0.000729725,0.000729725,0.000729725
72,3294.91,1.05318,1.30979,1.47001,0.84839,0.77764,0.85822,0.69636,1.09726,0.89507,1.60438,0.00072277,0.00072277,0.00072277
73,3343.07,1.04959,1.31954,1.46894,0.86294,0.74914,0.85239,0.69965,1.08769,0.88578,1.60142,0.000715761,0.000715761,0.000715761
74,3391.47,1.04042,1.29811,1.45768,0.84606,0.75047,0.84809,0.70241,1.07668,0.91048,1.58507,0.0007087,0.0007087,0.0007087
75,3439.19,1.03925,1.29492,1.45744,0.8315,0.76042,0.85358,0.70629,1.04497,0.86335,1.5772,0.000701588,0.000701588,0.000701588
76,3487.59,1.04575,1.31596,1.46696,0.83311,0.76167,0.84775,0.69912,1.08852,0.84004,1.57751,0.000694428,0.000694428,0.000694428
77,3538.53,1.0681,1.34623,1.48257,0.8351,0.75967,0.85011,0.69577,1.09042,0.88692,1.59708,0.000687222,0.000687222,0.000687222
78,3586.45,1.04433,1.29025,1.45485,0.86374,0.76083,0.852,0.70513,1.0749,0.87419,1.59333,0.00067997,0.00067997,0.00067997
79,3634.17,1.04721,1.30546,1.45422,0.86192,0.74873,0.84947,0.69997,1.07306,0.89884,1.58606,0.000672675,0.000672675,0.000672675
80,3681.82,1.0303,1.28459,1.44906,0.84526,0.76662,0.85908,0.71171,1.05718,0.84031,1.57411,0.000665339,0.000665339,0.000665339
81,3729.72,1.01611,1.25833,1.44164,0.85296,0.75727,0.85332,0.70647,1.06721,0.85739,1.57248,0.000657963,0.000657963,0.000657963
82,3782.02,1.02612,1.29673,1.45291,0.83244,0.7558,0.84873,0.70498,1.05299,0.87102,1.56833,0.00065055,0.00065055,0.00065055
83,3829.34,1.0128,1.26343,1.43216,0.83728,0.77356,0.85461,0.70835,1.04396,0.85642,1.57109,0.000643101,0.000643101,0.000643101
84,3877.23,1.03426,1.2794,1.45145,0.80597,0.78446,0.8578,0.71022,1.03635,0.85675,1.54205,0.000635617,0.000635617,0.000635617
85,3925.19,1.03138,1.26596,1.43953,0.8797,0.75458,0.86364,0.71389,1.04676,0.84314,1.55622,0.000628101,0.000628101,0.000628101
86,3973.31,1.03083,1.24652,1.44704,0.85779,0.75792,0.86466,0.71047,1.05573,0.83571,1.57106,0.000620555,0.000620555,0.000620555
87,4024.36,1.03783,1.27844,1.44751,0.8568,0.77805,0.86987,0.71885,1.03059,0.83206,1.54033,0.000612981,0.000612981,0.000612981
88,4073.47,1.03094,1.28406,1.43782,0.85126,0.77337,0.86408,0.71904,1.03591,0.8319,1.53045,0.00060538,0.00060538,0.00060538
89,4121.78,1.01908,1.25151,1.44103,0.84759,0.78103,0.86451,0.71825,1.02632,0.82394,1.53333,0.000597754,0.000597754,0.000597754
90,4170.29,1.01169,1.24326,1.41889,0.83477,0.78154,0.86513,0.71225,1.04546,0.81773,1.55946,0.000590105,0.000590105,0.000590105
91,4218.04,1.02615,1.23518,1.42634,0.87174,0.73778,0.85988,0.714,1.02279,0.83242,1.5421,0.000582435,0.000582435,0.000582435
92,4268.04,0.99727,1.22483,1.43002,0.83745,0.7655,0.86166,0.72004,1.00171,0.81377,1.51473,0.000574746,0.000574746,0.000574746
93,4319.29,1.02985,1.26056,1.45013,0.83995,0.77082,0.86148,0.71743,1.00367,0.81498,1.52655,0.00056704,0.00056704,0.00056704
94,4367.68,1.02793,1.2657,1.44497,0.83875,0.77988,0.86558,0.71549,1.03281,0.81629,1.5442,0.000559318,0.000559318,0.000559318
95,4415.92,1.03613,1.26494,1.4502,0.85833,0.76526,0.85848,0.71369,1.0278,0.8478,1.54324,0.000551584,0.000551584,0.000551584
96,4463.83,0.99647,1.24594,1.41993,0.86064,0.78302,0.86463,0.72042,1.0087,0.8235,1.53204,0.000543837,0.000543837,0.000543837
97,4512.04,1.01399,1.23708,1.43449,0.8537,0.77581,0.86451,0.71671,1.02885,0.81033,1.53091,0.000536081,0.000536081,0.000536081
98,4562.1,1.01405,1.22551,1.43334,0.83678,0.77978,0.86129,0.71763,1.01189,0.82615,1.5308,0.000528318,0.000528318,0.000528318
99,4613.01,1.00447,1.21597,1.42531,0.84062,0.77901,0.86484,0.71881,1.02385,0.80293,1.53303,0.000520548,0.000520548,0.000520548
100,4661.13,1.00052,1.19955,1.42549,0.82826,0.78562,0.86353,0.7198,1.01059,0.82033,1.52615,0.000512775,0.000512775,0.000512775
101,4709.05,0.9711,1.192,1.40496,0.8464,0.76732,0.86217,0.71796,1.01642,0.83821,1.5349,0.000505,0.000505,0.000505
102,4757.35,0.99689,1.21434,1.42583,0.81919,0.7899,0.86224,0.72339,1.01748,0.80906,1.53914,0.000497225,0.000497225,0.000497225
103,4806.3,1.00826,1.21224,1.42061,0.8333,0.78461,0.86019,0.71906,1.01992,0.81662,1.54746,0.000489452,0.000489452,0.000489452
104,4857.86,0.99171,1.21186,1.42069,0.82729,0.78313,0.86068,0.72291,0.99235,0.814,1.53951,0.000481682,0.000481682,0.000481682
105,4906.03,0.98107,1.19055,1.39636,0.85112,0.77881,0.86656,0.72324,1.00392,0.79649,1.52739,0.000473919,0.000473919,0.000473919
106,4953.58,1.01089,1.20524,1.42443,0.86593,0.76563,0.86721,0.72728,1.00858,0.81469,1.53524,0.000466163,0.000466163,0.000466163
107,5001.49,1.0034,1.20794,1.43452,0.84477,0.77321,0.86913,0.72787,0.98422,0.81081,1.51234,0.000458416,0.000458416,0.000458416
108,5049.39,0.99765,1.20223,1.41384,0.86824,0.75097,0.86722,0.73107,0.97789,0.7976,1.50999,0.000450682,0.000450682,0.000450682
109,5096.92,0.97695,1.18877,1.39862,0.8215,0.80513,0.87054,0.73089,0.98028,0.7841,1.52144,0.00044296,0.00044296,0.00044296
110,5149.52,1.00423,1.21272,1.42682,0.84145,0.78856,0.86926,0.73023,0.96425,0.80847,1.49715,0.000435254,0.000435254,0.000435254
111,5197.55,0.99573,1.18921,1.41464,0.84388,0.79598,0.87484,0.7362,0.95966,0.76054,1.48916,0.000427565,0.000427565,0.000427565
112,5245.59,0.97566,1.1751,1.39744,0.83068,0.79581,0.87085,0.73016,0.97417,0.7714,1.49373,0.000419895,0.000419895,0.000419895
113,5293.9,0.99113,1.17882,1.40911,0.83715,0.79611,0.87198,0.73342,0.96868,0.76933,1.49371,0.000412246,0.000412246,0.000412246
